CODIGO;DESCRIPCION;ABREVIATURA
7732;Matemáticas A;MATA
6745;Mantenimiento de Elementos de ;MEC
5701;Química;QUI
5703;Biología;BIO
5964;Literatura Universal;LUN
12129;Matemáticas aplicadas a las Ci;MCSII
8937;Economía de la empresa;EEMP
5684;Historia del Arte;HAR
5759;Inglés (Segundo Idioma);IN2
8893;Competencias básicas;CB
9649;Implantación de sistemas opera;ISO
10681;Inglés II: Inglés profesional;IPROF
9001;Técnicas Administrativas Básic;TABO
10053;Proyecto de desarrollo de apli;PDAW
9877;Bases de Datos;BDD
10501;Recursos humanos y responsabil;RHRSC
11085;Técnicas administrativas básic;TAB
9485;Gestión de recursos humanos;GRRHH
10641;Gestión logística y comercial;GLC
9067;Atención básica al cliente;ABC
12531;Iniciación a la actividad labo;IALE
8977;Operaciones básicas en instala;OBIJP
17403;Estructuras de control en Pyth;ECPY
13811;Normativa de ciberseguridad;NCB
13803;Bastionado de redes y sistemas;BRS
6145;Aplicaciones Informáticas y Op;AIO
6756;Financiación Internacional;FIN
5963;Religión Judía;RJU
6244;Ámbito Científico-Tecnológico;ACT
6760;Área de Formación Básica;FCO
8949;Educación ético-cívica;EEC
12105;Inglés II (primer idioma);INGII
8983;Operaciones auxiliares de mant;OAMSM
6534;Sociedad;SOC
9611;Operaciones administrativas de;OAC
9617;Técnica contable;TC
9879;Programación;PROG
9667;Implantación de aplicaciones w;IAW
10821;Organización de eventos empres;OEE
11097;Comunicación y sociedad II;CS2
11101;Instalación y mantenimiento de;IMRTD
11815;Matemáticas Orientadas a las E;MATAP
12061;Ciencias aplicadas a la activi;CAAP
9897;Sistemas de gestión empresaria;SGEM
12525;Comunicación y Sociedad básica;CSB1
8973;Operaciones básicas de prod. y;OBPMP
12529;Comunicación y Sociedad básica;CSB2
11083;Aplicaciones básicas de ofimát;ABO
14925;Expresión Artística;EXPAR
14929;Artes Escénicas, Danza y Folcl;AEDF
14901;Tecnología y Digitalización;TECDI
14921;Taller de Emprendimiento y fin;TEFP
14983;Tecnología e Ingeniería I;TI!
13809;Hacking ético;HE
14281;Sistemas de aprendizaje automá;SAA
16063;Itinerario personal para la em;IPE-I
16064;Proyecto intermodular I;PIMI
16595;Programación de aplicaciones u;PDAUF
5865;Formación en centros de trabaj;FCT
6239;Programación en Lenguajes Estr;PLE
6143;Contabilidad y Fiscalidad;CFI
5761;Francés (Segundo Idioma);FR2
9623;Empresa en el aula;EA
5866;Formación y orientación labora;FOL
5727;Alemán;ALE
8813;Módulo Básico Polivalente;MBP
12121;Matemáticas II;MATII
7278;Fundamentos de Administración ;FAG
9187;Inglés técnico;IT
9653;Fundamentos de hardware;FA
9651;Planificación y administración;PAR
9655;Gestión de bases de datos;GBD
